Load,Time,temperature_2m,relative_humidity_2m,wind_speed_10m,shortwave_radiation
2583.066976,2025-01-01 06:30:00,-3.2,35.0,2.2,0.0
2556.393472,2025-01-01 06:45:00,-3.25,35.0,2.15,0.0
2543.075584,2025-01-01 07:00:00,-3.3,35.0,2.1,0.0
2568.382624,2025-01-01 07:15:00,-3.275,35.0,2.125,3.25
2565.285184,2025-01-01 07:30:00,-3.25,35.0,2.1500000000000004,6.5
2578.466848,2025-01-01 07:45:00,-3.225,35.0,2.1750000000000003,9.75
2568.44896,2025-01-01 08:00:00,-3.2,35.0,2.2,13.0
2632.18864,2025-01-01 08:15:00,-3.225,35.25,2.1750000000000003,38.5
2728.664896,2025-01-01 08:30:00,-3.25,35.5,2.1500000000000004,64.0
2806.842592,2025-01-01 08:45:00,-3.275,35.75,2.125,89.5
2906.417056,2025-01-01 09:00:00,-3.3,36.0,2.1,115.0
2977.96864,2025-01-01 09:15:00,-2.8,34.5,1.975,148.5
3066.393184,2025-01-01 09:30:00,-2.3,33.0,1.85,182.0
3124.043872,2025-01-01 09:45:00,-1.8,31.5,1.725,215.5
3186.888928,2025-01-01 10:00:00,-1.3,30.0,1.6,249.0
3253.956256,2025-01-01 10:15:00,-0.925,29.25,1.625,275.0
3313.903072,2025-01-01 10:30:00,-0.55,28.5,1.65,301.0
3369.24928,2025-01-01 10:45:00,-0.17500000000000004,27.75,1.675,327.0
3400.998688,2025-01-01 11:00:00,0.2,27.0,1.7,353.0
3463.640032,2025-01-01 11:15:00,0.45,26.25,1.6,367.25
3485.720032,2025-01-01 11:30:00,0.7,25.5,1.5,381.5
3466.074496,2025-01-01 11:45:00,0.95,24.75,1.4,395.75
3398.876416,2025-01-01 12:00:00,1.2,24.0,1.3,410.0
3322.415584,2025-01-01 12:15:00,1.35,23.5,1.175,409.75
3252.392704,2025-01-01 12:30:00,1.5,23.0,1.05,409.5
3153.815968,2025-01-01 12:45:00,1.65,22.5,0.925,409.25
3092.54032,2025-01-01 13:00:00,1.8,22.0,0.8,409.0
3009.093952,2025-01-01 13:15:00,1.85,21.75,0.75,395.0
2958.570592,2025-01-01 13:30:00,1.9,21.5,0.7,381.0
2941.300672,2025-01-01 13:45:00,1.95,21.25,0.65,367.0
2905.280992,2025-01-01 14:00:00,2.0,21.0,0.6,353.0
2882.076256,2025-01-01 14:15:00,1.95,21.0,0.5,326.75
2837.566048,2025-01-01 14:30:00,1.9,21.0,0.4,300.5
2842.237888,2025-01-01 14:45:00,1.85,21.0,0.3,274.25
2833.718368,2025-01-01 15:00:00,1.8,21.0,0.2,248.0
2851.105504,2025-01-01 15:15:00,1.375,22.25,0.5,214.75
2900.062144,2025-01-01 15:30:00,0.9500000000000001,23.5,0.8,181.5
2930.833312,2025-01-01 15:45:00,0.5250000000000001,24.75,1.0999999999999999,148.25
2970.603712,2025-01-01 16:00:00,0.1,26.0,1.4,115.0
3043.224544,2025-01-01 16:15:00,-0.55,31.0,1.75,89.25
3110.828128,2025-01-01 16:30:00,-1.2,36.0,2.0999999999999996,63.5
3175.536256,2025-01-01 16:45:00,-1.85,41.0,2.4499999999999997,37.75
3266.240032,2025-01-01 17:00:00,-2.5,46.0,2.8,12.0
3395.697568,2025-01-01 17:15:00,-2.825,48.25,2.75,9.0
3538.005664,2025-01-01 17:30:00,-3.15,50.5,2.7,6.0
3679.034944,2025-01-01 17:45:00,-3.4749999999999996,52.75,2.65,3.0
3884.574496,2025-01-01 18:00:00,-3.8,55.0,2.6,0.0
4023.959968,2025-01-01 18:15:00,-3.8499999999999996,54.75,2.525,0.0
4082.142304,2025-01-01 18:30:00,-3.9,54.5,2.45,0.0
4021.613152,2025-01-01 18:45:00,-3.95,54.25,2.375,0.0
3977.47072,2025-01-01 19:00:00,-4.0,54.0,2.3,0.0
3957.920032,2025-01-01 19:15:00,-4.05,53.5,2.25,0.0
3941.246176,2025-01-01 19:30:00,-4.1,53.0,2.2,0.0
3933.656896,2025-01-01 19:45:00,-4.15,52.5,2.15,0.0
3915.23008,2025-01-01 20:00:00,-4.2,52.0,2.1,0.0
3924.857536,2025-01-01 20:15:00,-4.15,53.0,2.075,0.0
3940.957696,2025-01-01 20:30:00,-4.1,54.0,2.05,0.0
3945.58816,2025-01-01 20:45:00,-4.05,55.0,2.025,0.0
3926.857696,2025-01-01 21:00:00,-4.0,56.0,2.0,0.0
3921.43984,2025-01-01 21:15:00,-3.95,55.0,2.15,0.0
3912.724864,2025-01-01 21:30:00,-3.9,54.0,2.3,0.0
3865.07008,2025-01-01 21:45:00,-3.8499999999999996,53.0,2.45,0.0
3822.601984,2025-01-01 22:00:00,-3.8,52.0,2.6,0.0
3736.948768,2025-01-01 22:15:00,-3.6999999999999997,50.5,2.675,0.0
3626.3488,2025-01-01 22:30:00,-3.5999999999999996,49.0,2.75,0.0
3501.626368,2025-01-01 22:45:00,-3.5,47.5,2.825,0.0
3377.065696,2025-01-01 23:00:00,-3.4,46.0,2.9,0.0
3202.22176,2025-01-01 23:15:00,-3.1,42.25,3.275,0.0
3067.189888,2025-01-01 23:30:00,-2.8,38.5,3.6500000000000004,0.0
2945.126848,2025-01-01 23:45:00,-2.5,34.75,4.025,0.0
2846.472832,2025-01-02 00:00:00,-2.2,31.0,4.4,0.0
2751.803584,2025-01-02 00:15:00,-2.45,31.5,4.25,0.0
2668.747168,2025-01-02 00:30:00,-2.7,32.0,4.1,0.0
2576.708608,2025-01-02 00:45:00,-2.95,32.5,3.95,0.0
2512.657216,2025-01-02 01:00:00,-3.2,33.0,3.8,0.0
2443.51024,2025-01-02 01:15:00,-3.45,33.75,3.6999999999999997,0.0
2403.692992,2025-01-02 01:30:00,-3.7,34.5,3.5999999999999996,0.0
2356.560352,2025-01-02 01:45:00,-3.95,35.25,3.5,0.0
2317.23904,2025-01-02 02:00:00,-4.2,36.0,3.4,0.0
2281.436896,2025-01-02 02:15:00,-4.375,36.5,3.35,0.0
2256.84112,2025-01-02 02:30:00,-4.550000000000001,37.0,3.3,0.0
2235.618016,2025-01-02 02:45:00,-4.7250000000000005,37.5,3.25,0.0
2221.153312,2025-01-02 03:00:00,-4.9,38.0,3.2,0.0
2203.747648,2025-01-02 03:15:00,-5.075,38.5,3.1500000000000004,0.0
2183.434816,2025-01-02 03:30:00,-5.25,39.0,3.1,0.0
2176.281472,2025-01-02 03:45:00,-5.425,39.5,3.05,0.0
2178.259648,2025-01-02 04:00:00,-5.6,40.0,3.0,0.0
2177.081152,2025-01-02 04:15:00,-5.699999999999999,40.5,3.0,0.0
2175.13984,2025-01-02 04:30:00,-5.8,41.0,3.0,0.0
2182.394176,2025-01-02 04:45:00,-5.9,41.5,3.0,0.0
2201.317216,2025-01-02 05:00:00,-6.0,42.0,3.0,0.0
2233.717408,2025-01-02 05:15:00,-6.1,42.5,2.975,0.0
2251.675456,2025-01-02 05:30:00,-6.2,43.0,2.95,0.0
2289.332704,2025-01-02 05:45:00,-6.300000000000001,43.5,2.925,0.0
2336.793472,2025-01-02 06:00:00,-6.4,44.0,2.9,0.0
2437.634656,2025-01-02 06:15:00,-6.4750000000000005,44.25,2.85,0.0
2507.329408,2025-01-02 06:30:00,-6.550000000000001,44.5,2.8,0.0
2611.954624,2025-01-02 06:45:00,-6.625,44.75,2.75,0.0
2769.162784,2025-01-02 07:00:00,-6.7,45.0,2.7,0.0
3064.166368,2025-01-02 07:15:00,-6.725,45.0,2.725,3.5
3380.264416,2025-01-02 07:30:00,-6.75,45.0,2.75,7.0
3841.535104,2025-01-02 07:45:00,-6.775,45.0,2.775,10.5
4710.724864,2025-01-02 08:00:00,-6.8,45.0,2.8,14.0
5609.445664,2025-01-02 08:15:00,-6.45,44.0,2.775,41.0
5939.974816,2025-01-02 08:30:00,-6.1,43.0,2.75,68.0
6220.231072,2025-01-02 08:45:00,-5.75,42.0,2.725,95.0
6394.037056,2025-01-02 09:00:00,-5.4,41.0,2.7,122.0
6521.047648,2025-01-02 09:15:00,-4.95,38.25,2.8000000000000003,156.0
6625.847488,2025-01-02 09:30:00,-4.5,35.5,2.9000000000000004,190.0
6730.392832,2025-01-02 09:45:00,-4.050000000000001,32.75,3.0,224.0
6809.446528,2025-01-02 10:00:00,-3.6,30.0,3.1,258.0
6894.471232,2025-01-02 10:15:00,-3.275,28.25,3.175,284.5
6974.296096,2025-01-02 10:30:00,-2.95,26.5,3.25,311.0
7014.093952,2025-01-02 10:45:00,-2.625,24.75,3.325,337.5
7040.336416,2025-01-02 11:00:00,-2.3,23.0,3.4,364.0
7057.988608,2025-01-02 11:15:00,-2.0749999999999997,22.0,3.375,378.0
6947.23984,2025-01-02 11:30:00,-1.8499999999999999,21.0,3.3499999999999996,392.0
6637.344064,2025-01-02 11:45:00,-1.625,20.0,3.3249999999999997,406.0
5871.927328,2025-01-02 12:00:00,-1.4,19.0,3.3,420.0
5364.445984,2025-01-02 12:15:00,-1.25,18.5,3.25,419.75
5273.57872,2025-01-02 12:30:00,-1.1,18.0,3.2,419.5
5203.236256,2025-01-02 12:45:00,-0.95,17.5,3.15,419.25
5276.526688,2025-01-02 13:00:00,-0.8,17.0,3.1,419.0
5407.869088,2025-01-02 13:15:00,-0.7000000000000001,16.75,2.975,404.75
5867.44048,2025-01-02 13:30:00,-0.6000000000000001,16.5,2.85,390.5
6425.145664,2025-01-02 13:45:00,-0.5,16.25,2.725,376.25
6526.47904,2025-01-02 14:00:00,-0.4,16.0,2.6,362.0
6625.868608,2025-01-02 14:15:00,-0.375,15.5,2.525,335.5
6637.644064,2025-01-02 14:30:00,-0.35,15.0,2.45,309.0
6647.697376,2025-01-02 14:45:00,-0.325,14.5,2.375,282.5
6680.891392,2025-01-02 15:00:00,-0.3,14.0,2.3,256.0
6717.037696,2025-01-02 15:15:00,-0.6499999999999999,14.75,1.9249999999999998,222.0
6800.662624,2025-01-02 15:30:00,-1.0,15.5,1.5499999999999998,188.0
6821.982304,2025-01-02 15:45:00,-1.3499999999999999,16.25,1.175,154.0
6885.732832,2025-01-02 16:00:00,-1.7,17.0,0.8,120.0
6941.742784,2025-01-02 16:15:00,-2.0,17.5,0.675,93.25
7004.074816,2025-01-02 16:30:00,-2.3,18.0,0.55,66.5
6975.63904,2025-01-02 16:45:00,-2.5999999999999996,18.5,0.42500000000000004,39.75
6906.337696,2025-01-02 17:00:00,-2.9,19.0,0.3,13.0
6822.150112,2025-01-02 17:15:00,-3.1,19.0,0.35,9.75
6523.589728,2025-01-02 17:30:00,-3.3,19.0,0.4,6.5
6233.425984,2025-01-02 17:45:00,-3.5,19.0,0.45,3.25
6335.951872,2025-01-02 18:00:00,-3.7,19.0,0.5,0.0
6562.54144,2025-01-02 18:15:00,-3.825,19.25,0.85,0.0
6814.943584,2025-01-02 18:30:00,-3.95,19.5,1.2,0.0
7018.544704,2025-01-02 18:45:00,-4.075,19.75,1.5499999999999998,0.0
7021.913632,2025-01-02 19:00:00,-4.2,20.0,1.9,0.0
7040.830048,2025-01-02 19:15:00,-4.3,23.0,1.825,0.0
6995.44096,2025-01-02 19:30:00,-4.4,26.0,1.75,0.0
6959.18032,2025-01-02 19:45:00,-4.5,29.0,1.675,0.0
6883.306528,2025-01-02 20:00:00,-4.6,32.0,1.6,0.0
6876.428608,2025-01-02 20:15:00,-4.475,35.75,1.5,0.0
6894.303904,2025-01-02 20:30:00,-4.35,39.5,1.4,0.0
6839.606368,2025-01-02 20:45:00,-4.225,43.25,1.3,0.0
6764.182144,2025-01-02 21:00:00,-4.1,47.0,1.2,0.0
6671.808928,2025-01-02 21:15:00,-4.199999999999999,45.75,1.55,0.0
6579.164704,2025-01-02 21:30:00,-4.3,44.5,1.9,0.0
6453.45856,2025-01-02 21:45:00,-4.4,43.25,2.25,0.0
6318.688288,2025-01-02 22:00:00,-4.5,42.0,2.6,0.0
6174.583264,2025-01-02 22:15:00,-4.45,37.75,3.125,0.0
6016.85968,2025-01-02 22:30:00,-4.4,33.5,3.6500000000000004,0.0
5786.362144,2025-01-02 22:45:00,-4.35,29.25,4.175000000000001,0.0
5545.726528,2025-01-02 23:00:00,-4.3,25.0,4.7,0.0
5288.449888,2025-01-02 23:15:00,-4.475,26.0,4.425,0.0
5060.573152,2025-01-02 23:30:00,-4.65,27.0,4.15,0.0
4824.04192,2025-01-02 23:45:00,-4.825,28.0,3.875,0.0
4638.711232,2025-01-03 00:00:00,-5.0,29.0,3.6,0.0
4535.39872,2025-01-03 00:15:00,-5.25,29.75,3.4,0.0
4455.764704,2025-01-03 00:30:00,-5.5,30.5,3.2,0.0
4382.097376,2025-01-03 00:45:00,-5.75,31.25,3.0,0.0
4315.975936,2025-01-03 01:00:00,-6.0,32.0,2.8,0.0
4255.089568,2025-01-03 01:15:00,-6.2,32.75,2.8,0.0
4202.455456,2025-01-03 01:30:00,-6.4,33.5,2.8,0.0
4161.693952,2025-01-03 01:45:00,-6.6,34.25,2.8,0.0
4129.189888,2025-01-03 02:00:00,-6.8,35.0,2.8,0.0
4095.711232,2025-01-03 02:15:00,-6.9,35.25,2.775,0.0
4060.684384,2025-01-03 02:30:00,-7.0,35.5,2.75,0.0
4023.028288,2025-01-03 02:45:00,-7.1,35.75,2.725,0.0
3998.3512,2025-01-03 03:00:00,-7.2,36.0,2.7,0.0
3965.588608,2025-01-03 03:15:00,-7.3,36.25,2.625,0.0
3946.374304,2025-01-03 03:30:00,-7.4,36.5,2.55,0.0
3932.016736,2025-01-03 03:45:00,-7.5,36.75,2.475,0.0
3911.965024,2025-01-03 04:00:00,-7.6,37.0,2.4,0.0
3896.147968,2025-01-03 04:15:00,-7.6499999999999995,37.25,2.35,0.0
3894.167488,2025-01-03 04:30:00,-7.699999999999999,37.5,2.3,0.0
3896.324224,2025-01-03 04:45:00,-7.75,37.75,2.25,0.0
3878.97952,2025-01-03 05:00:00,-7.8,38.0,2.2,0.0
3878.027488,2025-01-03 05:15:00,-7.85,38.0,2.1500000000000004,0.0
3890.397376,2025-01-03 05:30:00,-7.9,38.0,2.1,0.0
3914.633152,2025-01-03 05:45:00,-7.95,38.0,2.05,0.0
3933.685696,2025-01-03 06:00:00,-8.0,38.0,2.0,0.0
4005.586336,2025-01-03 06:15:00,-8.05,38.0,1.975,0.0
4057.696096,2025-01-03 06:30:00,-8.1,38.0,1.95,0.0
4146.454816,2025-01-03 06:45:00,-8.149999999999999,38.0,1.9249999999999998,0.0
4257.554656,2025-01-03 07:00:00,-8.2,38.0,1.9,0.0
4475.94064,2025-01-03 07:15:00,-8.125,37.5,1.9249999999999998,3.25
4734.64144,2025-01-03 07:30:00,-8.05,37.0,1.95,6.5
5134.330912,2025-01-03 07:45:00,-7.975,36.5,1.975,9.75
5911.230112,2025-01-03 08:00:00,-7.9,36.0,2.0,13.0
6759.22096,2025-01-03 08:15:00,-7.525,35.5,1.95,39.25
7079.41888,2025-01-03 08:30:00,-7.15,35.0,1.9,65.5
7307.655136,2025-01-03 08:45:00,-6.775,34.5,1.85,91.75
7454.512192,2025-01-03 09:00:00,-6.4,34.0,1.8,118.0
7515.474976,2025-01-03 09:15:00,-5.75,32.25,1.7,151.25
7612.777216,2025-01-03 09:30:00,-5.1,30.5,1.6,184.5
7689.964864,2025-01-03 09:45:00,-4.45,28.75,1.5,217.75
7759.570048,2025-01-03 10:00:00,-3.8,27.0,1.4,251.0
7838.99968,2025-01-03 10:15:00,-3.25,25.5,1.6,277.25
7895.966368,2025-01-03 10:30:00,-2.7,24.0,1.8,303.5
7939.706368,2025-01-03 10:45:00,-2.15,22.5,2.0,329.75
7931.436256,2025-01-03 11:00:00,-1.6,21.0,2.2,356.0
7949.032672,2025-01-03 11:15:00,-1.25,20.5,2.35,370.0
7772.286208,2025-01-03 11:30:00,-0.9,20.0,2.5,384.0
7392.667648,2025-01-03 11:45:00,-0.55,19.5,2.65,398.0
6484.374976,2025-01-03 12:00:00,-0.2,19.0,2.8,412.0
5855.08,2025-01-03 12:15:00,0.0,18.75,2.775,412.25
5808.971392,2025-01-03 12:30:00,0.2,18.5,2.75,412.5
5763.255136,2025-01-03 12:45:00,0.4000000000000001,18.25,2.725,412.75
5865.327808,2025-01-03 13:00:00,0.6,18.0,2.7,413.0
6035.229088,2025-01-03 13:15:00,0.725,17.75,2.625,399.25
6548.27872,2025-01-03 13:30:00,0.8500000000000001,17.5,2.55,385.5
7246.210048,2025-01-03 13:45:00,0.9750000000000001,17.25,2.475,371.75
7367.682784,2025-01-03 14:00:00,1.1,17.0,2.4,358.0
7519.983424,2025-01-03 14:15:00,1.125,16.75,2.325,331.75
7551.263584,2025-01-03 14:30:00,1.15,16.5,2.25,305.5
7587.489088,2025-01-03 14:45:00,1.175,16.25,2.175,279.25
7624.03984,2025-01-03 15:00:00,1.2,16.0,2.1,253.0
7668.4,2025-01-03 15:15:00,0.7999999999999999,17.25,1.625,219.5
7733.488768,2025-01-03 15:30:00,0.3999999999999999,18.5,1.15,186.0
7780.596256,2025-01-03 15:45:00,-2.220446049250313e-16,19.75,0.675,152.5
7850.894656,2025-01-03 16:00:00,-0.4,21.0,0.2,119.0
7905.36016,2025-01-03 16:15:00,-0.8500000000000001,23.25,0.7,92.5
7954.807648,2025-01-03 16:30:00,-1.3000000000000003,25.5,1.2,66.0
7951.631392,2025-01-03 16:45:00,-1.75,27.75,1.7,39.5
7893.095296,2025-01-03 17:00:00,-2.2,30.0,2.2,13.0
7781.527168,2025-01-03 17:15:00,-2.5,36.75,2.45,9.75
7274.772352,2025-01-03 17:30:00,-2.8,43.5,2.7,6.5
6984.024064,2025-01-03 17:45:00,-3.1,50.25,2.95,3.25
7078.105024,2025-01-03 18:00:00,-3.4,57.0,3.2,0.0
7252.831552,2025-01-03 18:15:00,-3.45,57.25,3.0,0.0
7574.073472,2025-01-03 18:30:00,-3.5,57.5,2.8,0.0
7758.456256,2025-01-03 18:45:00,-3.55,57.75,2.6,0.0
7787.68,2025-01-03 19:00:00,-3.6,58.0,2.4,0.0
7836.934816,2025-01-03 19:15:00,-3.65,57.75,2.25,0.0
7781.164864,2025-01-03 19:30:00,-3.7,57.5,2.1,0.0
7723.904704,2025-01-03 19:45:00,-3.75,57.25,1.95,0.0
7624.157536,2025-01-03 20:00:00,-3.8,57.0,1.8,0.0
7624.324864,2025-01-03 20:15:00,-4.0,58.75,1.675,0.0
7615.328608,2025-01-03 20:30:00,-4.199999999999999,60.5,1.55,0.0
7580.20144,2025-01-03 20:45:00,-4.3999999999999995,62.25,1.425,0.0
7430.567488,2025-01-03 21:00:00,-4.6,64.0,1.3,0.0
7328.954656,2025-01-03 21:15:00,-4.699999999999999,64.0,1.05,0.0
7215.989728,2025-01-03 21:30:00,-4.8,64.0,0.8,0.0
7022.384704,2025-01-03 21:45:00,-4.9,64.0,0.55,0.0
6845.63968,2025-01-03 22:00:00,-5.0,64.0,0.3,0.0
6675.10144,2025-01-03 22:15:00,-5.15,64.5,0.3,0.0
6453.235936,2025-01-03 22:30:00,-5.3,65.0,0.3,0.0
6210.564544,2025-01-03 22:45:00,-5.449999999999999,65.5,0.3,0.0
5938.92112,2025-01-03 23:00:00,-5.6,66.0,0.3,0.0
5648.853952,2025-01-03 23:15:00,-5.75,66.5,0.425,0.0
5412.195136,2025-01-03 23:30:00,-5.9,67.0,0.55,0.0
5174.02,2025-01-03 23:45:00,-6.05,67.5,0.675,0.0
4991.006848,2025-01-04 00:00:00,-6.2,68.0,0.8,0.0
4884.229408,2025-01-04 00:15:00,-6.35,69.0,0.875,0.0
4802.922784,2025-01-04 00:30:00,-6.5,70.0,0.9500000000000001,0.0
4755.287968,2025-01-04 00:45:00,-6.65,71.0,1.0250000000000001,0.0
4699.315456,2025-01-04 01:00:00,-6.8,72.0,1.1,0.0
4649.591392,2025-01-04 01:15:00,-6.75,72.0,1.1,0.0
4600.846528,2025-01-04 01:30:00,-6.699999999999999,72.0,1.1,0.0
4570.943104,2025-01-04 01:45:00,-6.6499999999999995,72.0,1.1,0.0
4540.851232,2025-01-04 02:00:00,-6.6,72.0,1.1,0.0
4506.790048,2025-01-04 02:15:00,-6.699999999999999,72.25,1.1,0.0
4483.628608,2025-01-04 02:30:00,-6.8,72.5,1.1,0.0
4452.951232,2025-01-04 02:45:00,-6.9,72.75,1.1,0.0
4423.550752,2025-01-04 03:00:00,-7.0,73.0,1.1,0.0
4396.048768,2025-01-04 03:15:00,-7.1,72.75,1.1,0.0
4371.8416,2025-01-04 03:30:00,-7.2,72.5,1.1,0.0
4355.024224,2025-01-04 03:45:00,-7.300000000000001,72.25,1.1,0.0
4341.575776,2025-01-04 04:00:00,-7.4,72.0,1.1,0.0
4332.027808,2025-01-04 04:15:00,-7.525,72.25,1.125,0.0
4323.13984,2025-01-04 04:30:00,-7.65,72.5,1.15,0.0
4298.812672,2025-01-04 04:45:00,-7.775,72.75,1.175,0.0
4298.463904,2025-01-04 05:00:00,-7.9,73.0,1.2,0.0
4306.406848,2025-01-04 05:15:00,-7.975,73.0,1.2,0.0
4320.806368,2025-01-04 05:30:00,-8.05,73.0,1.2,0.0
4349.08048,2025-01-04 05:45:00,-8.125,73.0,1.2,0.0
4389.546208,2025-01-04 06:00:00,-8.2,73.0,1.2,0.0
4481.643424,2025-01-04 06:15:00,-8.25,73.0,1.175,0.0
4558.883584,2025-01-04 06:30:00,-8.3,73.0,1.15,0.0
4665.025984,2025-01-04 06:45:00,-8.35,73.0,1.125,0.0
4791.903904,2025-01-04 07:00:00,-8.4,73.0,1.1,0.0
5009.43808,2025-01-04 07:15:00,-8.3,71.75,1.1500000000000001,3.25
5311.022464,2025-01-04 07:30:00,-8.2,70.5,1.2000000000000002,6.5
5672.145664,2025-01-04 07:45:00,-8.1,69.25,1.25,9.75
6501.730048,2025-01-04 08:00:00,-8.0,68.0,1.3,13.0
7335.592672,2025-01-04 08:15:00,-7.575,68.0,1.275,39.75
7600.297216,2025-01-04 08:30:00,-7.15,68.0,1.25,66.5
7812.524704,2025-01-04 08:45:00,-6.725,68.0,1.225,93.25
7934.747488,2025-01-04 09:00:00,-6.3,68.0,1.2,120.0
8027.968768,2025-01-04 09:15:00,-5.55,65.5,1.025,153.5
8090.42032,2025-01-04 09:30:00,-4.8,63.0,0.85,187.0
8156.98096,2025-01-04 09:45:00,-4.05,60.5,0.675,220.5
8215.794016,2025-01-04 10:00:00,-3.3,58.0,0.5,254.0
8280.833152,2025-01-04 10:15:00,-2.775,56.75,0.425,280.0
8322.953152,2025-01-04 10:30:00,-2.25,55.5,0.35,306.0
8336.743744,2025-01-04 10:45:00,-1.725,54.25,0.275,332.0
8340.3616,2025-01-04 11:00:00,-1.2,53.0,0.2,358.0
8344.636576,2025-01-04 11:15:00,-0.75,50.5,0.3,371.25
8147.665024,2025-01-04 11:30:00,-0.30000000000000004,48.0,0.4,384.5
7776.42112,2025-01-04 11:45:00,0.1499999999999999,45.5,0.5,397.75
6824.76016,2025-01-04 12:00:00,0.6,43.0,0.6,411.0
6252.984544,2025-01-04 12:15:00,0.85,40.75,0.7,411.0
6214.42,2025-01-04 12:30:00,1.1,38.5,0.8,411.0
6154.32016,2025-01-04 12:45:00,1.35,36.25,0.9,411.0
6208.829248,2025-01-04 13:00:00,1.6,34.0,1.0,411.0
6417.406528,2025-01-04 13:15:00,1.7000000000000002,33.0,1.1,396.5
6982.102144,2025-01-04 13:30:00,1.8,32.0,1.2,382.0
7653.169888,2025-01-04 13:45:00,1.9,31.0,1.2999999999999998,367.5
7821.148768,2025-01-04 14:00:00,2.0,30.0,1.4,353.0
7934.627488,2025-01-04 14:15:00,1.875,30.5,1.575,327.25
7974.75856,2025-01-04 14:30:00,1.75,31.0,1.75,301.5
8002.317376,2025-01-04 14:45:00,1.625,31.5,1.925,275.75
8028.044704,2025-01-04 15:00:00,1.5,32.0,2.1,250.0
8065.285984,2025-01-04 15:15:00,0.975,33.75,2.2,216.75
8131.44064,2025-01-04 15:30:00,0.44999999999999996,35.5,2.3,183.5
8174.663104,2025-01-04 15:45:00,-0.07500000000000018,37.25,2.4,150.25
8229.716896,2025-01-04 16:00:00,-0.6,39.0,2.5,117.0
8293.13872,2025-01-04 16:15:00,-1.125,41.5,2.325,91.25
8316.71872,2025-01-04 16:30:00,-1.65,44.0,2.15,65.5
8315.73808,2025-01-04 16:45:00,-2.1750000000000003,46.5,1.975,39.75
8246.21968,2025-01-04 17:00:00,-2.7,49.0,1.8,14.0
8152.632832,2025-01-04 17:15:00,-2.975,51.75,1.6,10.5
7663.525984,2025-01-04 17:30:00,-3.25,54.5,1.4,7.0
7374.251392,2025-01-04 17:45:00,-3.525,57.25,1.2,3.5
7384.347808,2025-01-04 18:00:00,-3.8,60.0,1.0,0.0
7623.62032,2025-01-04 18:15:00,-3.8,61.0,0.85,0.0
7864.362784,2025-01-04 18:30:00,-3.8,62.0,0.7,0.0
8087.24128,2025-01-04 18:45:00,-3.8,63.0,0.55,0.0
8119.097536,2025-01-04 19:00:00,-3.8,64.0,0.4,0.0
8151.714016,2025-01-04 19:15:00,-3.8249999999999997,64.5,0.325,0.0
8118.204064,2025-01-04 19:30:00,-3.8499999999999996,65.0,0.25,0.0
8050.197856,2025-01-04 19:45:00,-3.875,65.5,0.175,0.0
7929.936256,2025-01-04 20:00:00,-3.9,66.0,0.1,0.0
7913.647168,2025-01-04 20:15:00,-3.8,68.75,0.125,0.0
7901.066368,2025-01-04 20:30:00,-3.7,71.5,0.15000000000000002,0.0
7860.068608,2025-01-04 20:45:00,-3.6,74.25,0.17500000000000002,0.0
7747.443904,2025-01-04 21:00:00,-3.5,77.0,0.2,0.0
7637.590048,2025-01-04 21:15:00,-3.5,76.75,0.35000000000000003,0.0
7508.516416,2025-01-04 21:30:00,-3.5,76.5,0.5,0.0
7347.390112,2025-01-04 21:45:00,-3.5,76.25,0.6500000000000001,0.0
